กก	gok
พะพุดทะเจ้า	pha.phut.tha.jao
พะม่า	pha.ma:
พะยาบาน	pha.ya:.ba:n
พะละกำลัง	pha.la.gam.laŋ
พะลัง	pha.laŋ
พะลังงาน	pha.laŋ.ŋa:n
พะสะติก	pha.sa.tik
พะอาทิด	pha.a:.thit
พะเอก	pha.e:k
พัก	phak
พัง	phaŋ
พัด	phat
พัดลม	phat.lom
พัน	phan
พับ	phap
พับเพียบ	phap.phi:ap
พัย	phai
พั้ว	phu:a
พา	pha:
พาก	pha:k
พาชะนะ	pha:.cha.na
พาบ	pha:p
พาบถ่าย	pha:p.tha:i
พาบวาด	pha:p.wa:t
พาย	pha:i
พาสา	pha:.sa:
พาหะนะ	pha:.ha.na
พาเข้า	pha:.khao
พิดสุนักบ้า	phit.su.nak.ba:
พิม	phim
พี่ซาย	phi:.sa:i
พี่สาว	phi:.sa:o
พี้	phi:
พึสะจิกาย๊น	phʉ.sa.ji.ga:.yon
พึสะพาคม	phʉ.sa.pha:.khom
พืด	phʉ:t
พื้น	phʉ:n
พื้นดิน	phʉ:n.din
พื้นที้	phʉ:n.thi:
พุ	phu
พุข้า	phu.kha:
พุซาย	phu.sa:i
พุบ่าว	phu.ba:o
พุป่วย	phu.pu:ai
พุล้าย	phu.la:i
พุสาว	phu.sa:o
พุหญิง	phu.ɲiŋ
พุเดียว	phu.di:ao
พุเถ้า	phu.thao
พุโดยสาน	phu.do:i.sa:n
พุโถ	phu.tho:
พุใด	phu.dai
พุใหญ่	phu.ɲai
พุใหญ่บ้าน	phu.ɲai.ba:n
พุ้น	phun
พุ้นหนะ	phun.na
พุ้นหละ	phun.la
พุ้นแหล้ว	phun.lɛ:o
พู	phu:
พูมถาน	phu:m.tha:n
พูมิพาก	phu:.mi.pha:k
พูมใจ	phu:m.jai
พูเขา	phu:.khao
พ่อ	phɔ:
พ่อค้า	phɔ:.kha:
พ่อใหญ่	phɔ:.ɲai
พ้อ	phɔ:
พ้อม	phɔ:m
พ้อมกัน	phɔ:m.gan
พ้อมเพียง	phɔ:m.phi:aŋ
ฟอง	fɔ:ŋ
ฟองน้ำ	fɔ:ŋ.na:m
ฟัง	faŋ
ฟัน	fan
